"unique_key","created_date","closed_date","agency","agency_name","complaint_type","descriptor","location_type","incident_zip","incident_address","street_name","cross_street_1","cross_street_2","intersection_street_1","intersection_street_2","address_type","city","landmark","facility_type","status","due_date","resolution_description","resolution_action_updated_date","community_board","bbl","borough","x_coordinate_state_plane","y_coordinate_state_plane","open_data_channel_type","park_facility_name","park_borough","vehicle_type","taxi_company_borough","taxi_pick_up_location","bridge_highway_name","bridge_highway_direction","road_ramp","bridge_highway_segment","latitude","longitude","location"
"60879417","2024-04-16T03:03:15.000",,"DOT","Department of Transportation","Street Condition","Pothole",,"11413",,,,,"133 AVENUE","231 STREET","INTERSECTION","QUEENS",,"N/A","Open",,"The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.","2024-04-16T03:03:15.000","13 QUEENS",,"QUEENS","1056941","185959","UNKNOWN","Unspecified","QUEENS",,,,,,,,"40.67679280229251","-73.7379342313789","
,  
(40.67679280229251, -73.7379342313789)"
"60872531","2024-04-16T02:05:59.000",,"DOT","Department of Transportation","Street Condition","Pothole",,"11367","MAIN STREET","MAIN STREET","63 AVENUE","GRAVETT ROAD",,,"BLOCKFACE","QUEENS",,"N/A","Open",,"The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.","2024-04-16T02:05:59.000","08 QUEENS",,"QUEENS",,,"UNKNOWN","Unspecified","QUEENS",,,,,,,,,,
"60877099","2024-04-16T02:04:38.000",,"DOT","Department of Transportation","Street Condition","Pothole",,"11367","MELBOURNE AVENUE","MELBOURNE AVENUE","147 STREET","MAIN STREET",,,"BLOCKFACE","QUEENS",,"N/A","Open",,"The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.","2024-04-16T02:04:38.000","08 QUEENS",,"QUEENS",,,"UNKNOWN","Unspecified","QUEENS",,,,,,,,,,
"60873407","2024-04-16T01:44:30.000","2024-04-16T01:44:30.000","DOT","Department of Transportation","Street Condition","Pothole",,"11413",,,,,"140 AVENUE","219 STREET","INTERSECTION","QUEENS",,"N/A","Closed",,"The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.","2024-04-16T01:44:30.000","13 QUEENS",,"QUEENS","1052391","184152","UNKNOWN","Unspecified","QUEENS",,,,,,,,"40.67186920651077","-73.7543560819606","
,  
(40.67186920651077, -73.7543560819606)"
"60866564","2024-04-16T01:43:27.000","2024-04-16T01:43:27.000","DOT","Department of Transportation","Street Condition","Pothole",,"11364","HORACE HARDING EXPRESSWAY","HORACE HARDING EXPRESSWAY","210 STREET","211 STREET",,,"BLOCKFACE","QUEENS",,"N/A","Closed",,"The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.","2024-04-16T01:43:27.000","11 QUEENS",,"QUEENS",,,"UNKNOWN","Unspecified","QUEENS",,,,,,,,,,
"60873408","2024-04-16T01:42:24.000","2024-04-16T01:42:24.000","DOT","Department of Transportation","Street Condition","Pothole",,"11436",,,,,"147 STREET","NORTH CONDUIT AVENUE","INTERSECTION","QUEENS",,"N/A","Closed",,"The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.","2024-04-16T01:42:24.000","12 QUEENS",,"QUEENS","1041902","182366","UNKNOWN","Unspecified","QUEENS",,,,,,,,"40.66704156939636","-73.79218337141249","
,  
(40.66704156939636, -73.79218337141249)"
"60880250","2024-04-16T01:41:34.000","2024-04-16T01:41:34.000","DOT","Department of Transportation","Street Condition","Pothole",,"11429","COLFAX STREET","COLFAX STREET","113 AVENUE","211 STREET",,,"BLOCKFACE","QUEENS",,"N/A","Closed",,"The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.","2024-04-16T01:41:34.000","13 QUEENS",,"QUEENS",,,"UNKNOWN","Unspecified","QUEENS",,,,,,,,,,
"60864181","2024-04-16T01:40:36.000","2024-04-16T01:40:36.000","DOT","Department of Transportation","Street Condition","Pothole",,"11429","211 STREET","211 STREET","JAMAICA AVENUE","LONG ISLAND RAILROAD",,,"BLOCKFACE","QUEENS",,"N/A","Closed",,"The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.","2024-04-16T01:40:36.000","13 QUEENS",,"QUEENS",,,"UNKNOWN","Unspecified","QUEENS",,,,,,,,,,
"60875660","2024-04-16T01:27:54.000",,"DSNY","Department of Sanitation","Graffiti","Graffiti","Comercial","11225","1028 FRANKLIN AVENUE","FRANKLIN AVENUE",,,,,"ADDRESS","BROOKLYN",,"N/A","Open","2024-05-16T01:27:54.000","The graffiti on this property has been scheduled to be removed by the City.","2024-04-16T01:27:54.000","09 BROOKLYN","3011960011","BROOKLYN","995217","181103","UNKNOWN","Unspecified","BROOKLYN",,,,,,,,"40.66375583017106","-73.96046953029621","
,  
(40.66375583017106, -73.96046953029621)"
"60866292","2024-04-16T01:23:11.000",,"DSNY","Department of Sanitation","Graffiti","Graffiti","Mixed Use","11226","164 LINDEN BOULEVARD","LINDEN BOULEVARD",,,,,"ADDRESS","BROOKLYN",,"N/A","Open","2024-05-16T01:23:11.000","The graffiti on this property has been scheduled to be removed by the City.","2024-04-16T01:23:11.000","17 BROOKLYN","3050880006","BROOKLYN","997506","177005","UNKNOWN","Unspecified","BROOKLYN",,,,,,,,"40.65250459086345","-73.95222690417052","
,  
(40.65250459086345, -73.95222690417052)"
"60863912","2024-04-16T01:22:33.000",,"DSNY","Department of Sanitation","Graffiti","Graffiti","Mixed Use","11226","764 ROGERS AVENUE","ROGERS AVENUE",,,,,"ADDRESS","BROOKLYN",,"N/A","Open","2024-05-16T01:22:33.000","The graffiti on this property has been scheduled to be removed by the City.","2024-04-16T01:22:33.000","17 BROOKLYN","3050870049","BROOKLYN","997388","176930","UNKNOWN","Unspecified","BROOKLYN",,,,,,,,"40.65229890808396","-73.95265230858087","
,  
(40.65229890808396, -73.95265230858087)"
"60868035","2024-04-16T01:21:28.000",,"NYPD","New York City Police Department","Abandoned Vehicle","With License Plate","Street/Sidewalk",,,,,,,,,,,,"In Progress",,,,"0 Unspecified",,"Unspecified","985283",,"MOBILE","Unspecified","Unspecified","Car",,,,,,,,,
"60868245","2024-04-16T01:21:13.000",,"NYPD","New York City Police Department","Noise - Residential","Banging/Pounding","Residential Building/House","11419","104-28 117 STREET","117 STREET","LIBERTY AVENUE","107 AVENUE","LIBERTY AVENUE","107 AVENUE","ADDRESS","SOUTH RICHMOND HILL","117 STREET",,"In Progress",,,,"10 QUEENS","4095700016","QUEENS","1032565","189111","PHONE","Unspecified","QUEENS",,,,,,,,"40.68561091285362","-73.82579175604369","
,  
(40.68561091285362, -73.82579175604369)"
"60872793","2024-04-16T01:21:02.000",,"NYPD","New York City Police Department","Noise - Residential","Banging/Pounding","Residential Building/House","10035","2026 LEXINGTON AVENUE","LEXINGTON AVENUE","EAST  123 STREET","EAST  124 STREET","EAST  123 STREET","EAST  124 STREET","ADDRESS","NEW YORK","LEXINGTON AVENUE",,"In Progress",,,"2024-04-16T01:58:25.000","11 MANHATTAN","1017720055","MANHATTAN","1001346","231932","ONLINE","Unspecified","MANHATTAN",,,,,,,,"40.803259152452306","-73.93824844593264","
,  
(40.803259152452306, -73.93824844593264)"
"60875160","2024-04-16T01:21:01.000",,"NYPD","New York City Police Department","Noise - Residential","Loud Music/Party","Residential Building/House","11429","223-34 108 AVENUE","108 AVENUE","223 STREET","225 STREET","223 STREET","225 STREET","ADDRESS","QUEENS VILLAGE","108 AVENUE",,"In Progress",,,,"13 QUEENS","4111900021","QUEENS","1058382","197380","ONLINE","Unspecified","QUEENS",,,,,,,,"40.70812871209193","-73.73261348218739","
,  
(40.70812871209193, -73.73261348218739)"
"60877363","2024-04-16T01:20:50.000",,"NYPD","New York City Police Department","Noise - Commercial","Car/Truck Music","Store/Commercial","11221","236 MALCOM X BOULEVARD","MALCOM X BOULEVARD","JEFFERSON AVENUE","HANCOCK STREET","JEFFERSON AVENUE","HANCOCK STREET","ADDRESS","BROOKLYN","MALCOLM X BOULEVARD",,"In Progress",,,"2024-04-16T01:47:07.000","03 BROOKLYN","3016560045","BROOKLYN","1003807","188851","MOBILE","Unspecified","BROOKLYN",,,,,,,,"40.6850075335186","-73.92948446815542","
,  
(40.6850075335186, -73.92948446815542)"
