agency_name,complaint_type,descriptor,location_type,incident_zip,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,facility_type,status,resolution_description,community_board,bbl,borough,open_data_channel_type,park_facility_name,park_borough,vehicle_type,taxi_company_borough,taxi_pick_up_location,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,progress_duration,created_year,resolution_action_updated_year
Department of Transportation,Street Condition,Pothole,,11413,,,,133 AVENUE,231 STREET,INTERSECTION,QUEENS,,,Open,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,13 QUEENS,11413,QUEENS,,,QUEENS,,,,,,,,Less than a day,2024,2024
Department of Transportation,Street Condition,Pothole,,11367,MAIN STREET,63 AVENUE,GRAVETT ROAD,,,BLOCKFACE,QUEENS,,,Open,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,08 QUEENS,11367,QUEENS,,,QUEENS,,,,,,,,Less than a day,2024,2024
Department of Transportation,Street Condition,Pothole,,11367,MELBOURNE AVENUE,147 STREET,MAIN STREET,,,BLOCKFACE,QUEENS,,,Open,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,08 QUEENS,11367,QUEENS,,,QUEENS,,,,,,,,Less than a day,2024,2024
Department of Transportation,Street Condition,Pothole,,11413,,,,140 AVENUE,219 STREET,INTERSECTION,QUEENS,,,Closed,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,13 QUEENS,11413,QUEENS,,,QUEENS,,,,,,,,Less than a day,2024,2024
Department of Transportation,Street Condition,Pothole,,11364,HORACE HARDING EXPRESSWAY,210 STREET,211 STREET,,,BLOCKFACE,QUEENS,,,Closed,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,11 QUEENS,11364,QUEENS,,,QUEENS,,,,,,,,Less than a day,2024,2024
Department of Transportation,Street Condition,Pothole,,11436,,,,147 STREET,NORTH CONDUIT AVENUE,INTERSECTION,QUEENS,,,Closed,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,12 QUEENS,11436,QUEENS,,,QUEENS,,,,,,,,Less than a day,2024,2024
Department of Transportation,Street Condition,Pothole,,11429,COLFAX STREET,113 AVENUE,211 STREET,,,BLOCKFACE,QUEENS,,,Closed,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,13 QUEENS,11429,QUEENS,,,QUEENS,,,,,,,,Less than a day,2024,2024
Department of Transportation,Street Condition,Pothole,,11429,211 STREET,JAMAICA AVENUE,LONG ISLAND RAILROAD,,,BLOCKFACE,QUEENS,,,Closed,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,13 QUEENS,11429,QUEENS,,,QUEENS,,,,,,,,Less than a day,2024,2024
Department of Sanitation,Graffiti,Graffiti,Comercial,11225,FRANKLIN AVENUE,,,,,ADDRESS,BROOKLYN,,,Open,The graffiti on this property has been scheduled to be removed by the City.,09 BROOKLYN,11225,BROOKLYN,,,BROOKLYN,,,,,,,,Less than a day,2024,2024
Department of Sanitation,Graffiti,Graffiti,Mixed Use,11226,LINDEN BOULEVARD,,,,,ADDRESS,BROOKLYN,,,Open,The graffiti on this property has been scheduled to be removed by the City.,17 BROOKLYN,11226,BROOKLYN,,,BROOKLYN,,,,,,,,Less than a day,2024,2024
Department of Sanitation,Graffiti,Graffiti,Mixed Use,11226,ROGERS AVENUE,,,,,ADDRESS,BROOKLYN,,,Open,The graffiti on this property has been scheduled to be removed by the City.,17 BROOKLYN,11226,BROOKLYN,,,BROOKLYN,,,,,,,,Less than a day,2024,2024
New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,,,,,,,,,,,In Progress,,0 Unspecified,,,MOBILE,,,Car,,,,,,,Ongoing,2024,
New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11419,117 STREET,LIBERTY AVENUE,107 AVENUE,LIBERTY AVENUE,107 AVENUE,ADDRESS,SOUTH RICHMOND HILL,117 STREET,,In Progress,,10 QUEENS,11419,QUEENS,PHONE,,QUEENS,,,,,,,,Ongoing,2024,
New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10035,LEXINGTON AVENUE,EAST  123 STREET,EAST  124 STREET,EAST  123 STREET,EAST  124 STREET,ADDRESS,NEW YORK,LEXINGTON AVENUE,,In Progress,,11 MANHATTAN,10035,MANHATTAN,ONLINE,,MANHATTAN,,,,,,,,Less than a day,2024,2024
New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11429,108 AVENUE,223 STREET,225 STREET,223 STREET,225 STREET,ADDRESS,QUEENS VILLAGE,108 AVENUE,,In Progress,,13 QUEENS,11429,QUEENS,ONLINE,,QUEENS,,,,,,,,Ongoing,2024,
New York City Police Department,Noise - Commercial,Car/Truck Music,Store/Commercial,11221,MALCOM X BOULEVARD,JEFFERSON AVENUE,HANCOCK STREET,JEFFERSON AVENUE,HANCOCK STREET,ADDRESS,BROOKLYN,MALCOLM X BOULEVARD,,In Progress,,03 BROOKLYN,11221,BROOKLYN,MOBILE,,BROOKLYN,,,,,,,,Less than a day,2024,2024
Department of Health and Mental Hygiene,Rodent,Rat Sighting,Construction Site,11377,64 STREET,HICKS DRIVE,43 AVENUE,HICKS DRIVE,43 AVENUE,ADDRESS,WOODSIDE,64 STREET,,In Progress,,02 QUEENS,11377,QUEENS,MOBILE,,QUEENS,,,,,,,,Ongoing,2024,
New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10025,AMSTERDAM AVENUE,WEST   93 STREET,WEST   94 STREET,WEST   93 STREET,WEST   94 STREET,ADDRESS,NEW YORK,AMSTERDAM AVENUE,,In Progress,,07 MANHATTAN,10025,MANHATTAN,PHONE,,MANHATTAN,,,,,,,,Less than a day,2024,2024
New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10029,EAST   98 STREET,LEXINGTON AVENUE,3 AVENUE,LEXINGTON AVENUE,3 AVENUE,ADDRESS,NEW YORK,EAST   98 STREET,,In Progress,,11 MANHATTAN,10029,MANHATTAN,PHONE,,MANHATTAN,,,,,,,,Ongoing,2024,
New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11219,14 AVENUE,59 STREET,60 STREET,59 STREET,60 STREET,ADDRESS,BROOKLYN,14 AVENUE,,In Progress,,12 BROOKLYN,11219,BROOKLYN,MOBILE,,BROOKLYN,Car,,,,,,,Ongoing,2024,
New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10460,EAST TREMONT AVENUE,MAPES AVENUE,MARMION AVENUE,MAPES AVENUE,MARMION AVENUE,ADDRESS,BRONX,EAST TREMONT AVENUE,,In Progress,,06 BRONX,10460,BRONX,ONLINE,,BRONX,,,,,,,,Ongoing,2024,
New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10029,EAST   98 STREET,LEXINGTON AVENUE,3 AVENUE,LEXINGTON AVENUE,3 AVENUE,ADDRESS,NEW YORK,EAST   98 STREET,,In Progress,,11 MANHATTAN,10029,MANHATTAN,ONLINE,,MANHATTAN,,,,,,,,Less than a day,2024,2024
